"","user","negative","positive","sentiment","lon","lat"
"1","______96RBS",1,1,0,NA,NA
"2","___lor__",1,0,-1,NA,NA
"3","__103196",0,1,1,NA,NA
"4","__Dariaa",0,1,1,NA,NA
"5","__DISNEY__DREAM",0,1,1,-81.614518,28.344786
"6","__dxna",1,0,-1,NA,NA
"7","__KatieWalker",0,1,1,-82.907123,40.4172871
"8","__Lisaaaaaaaa",1,0,-1,NA,NA
"9","__McDonaldTrump",0,1,1,NA,NA
"10","__nickie__g",1,0,-1,NA,NA
"11","__shanewilliams",0,1,1,-79.3831843,43.653226
"12","__vri_",0,1,1,NA,NA
"13","__YCN__",1,0,-1,-73.997617,40.718421
"14","_92Infinity",1,0,-1,7.0263397,5.5192326
"15","_accio_books",0,1,1,-118.2436849,34.0522342
"16","_AlexaO_",0,3,3,NA,NA
"17","_alexblancoo_",0,1,1,-80.1917902,25.7616798
"18","_amandaconda",0,1,1,-75.5276699,38.9108325
"19","_Andrade3_",0,1,1,NA,NA
"20","_AprilCoronel",0,1,1,NA,NA
"21","_atsoca",1,0,-1,-121.7484872,38.5426634
"22","_BabyJay13",1,0,-1,NA,NA
"23","_BetterWithAge",1,1,0,NA,NA
"24","_Blondie11",0,1,1,-83.7626729,34.1092735
"25","_BreNicole_",1,1,0,NA,NA
"26","_brujaa",0,1,1,NA,NA
"27","_canahmed",0,1,1,NA,NA
"28","_chloefalls",0,1,1,-95.712891,37.09024
"29","_christianmart",1,0,-1,NA,NA
"30","_CoreyLeigh",0,1,1,NA,NA
"31","_cuervoJ",1,1,0,-93.2698362,37.2206333
"32","_cynthiagabbie",0,1,1,-74.4056612,40.0583238
"33","_danicaviray",0,1,1,-118.3406288,33.8358492
"34","_darkskindolll",0,1,1,NA,NA
"35","_DevonWebb_",0,1,1,-117.8311428,33.7174708
"36","_Disneyy_Quotes",1,1,0,NA,NA
"37","_Domlynn",0,1,1,-84.3879824,33.7489954
"38","_DopeDiamonds_",1,1,0,NA,NA
"39","_dralaterdzo",2,1,-1,-106.346771,56.130366
"40","_edendc",0,1,1,-79.5746122,43.7281335
"41","_EdwinFuentez",1,0,-1,-118.2436849,34.0522342
"42","_eemmyy",0,1,1,-117.435048,34.0922335
"43","_elliizzaabeth_",1,0,-1,-95.712891,37.09024
"44","_emilianosilva",1,0,-1,NA,NA
"45","_emilycampana",1,1,0,NA,NA
"46","_EVELYN_15_",0,1,1,-98.4936282,29.4241219
"47","_GarretLawson_",1,1,0,NA,NA
"48","_GauravVerma",3,1,-2,72.8776559,19.0759837
"49","_gobrian",1,0,-1,NA,NA
"50","_Green_Ranger_",0,1,1,NA,NA
"51","_hadleigh_king",0,1,1,-89.8030901,34.40793
"52","_haleyandreww",2,1,-1,NA,NA
"53","_hollywoodpoint",0,1,1,-95.712891,37.09024
"54","_hugoagogo",0,1,1,-123.3656444,48.4284207
"55","_Hunter_Clarke_",2,2,0,151.2092955,-33.8688197
"56","_iAM_sam_",1,0,-1,77.7199594,12.9832628
"57","_IamToledo",1,0,-1,NA,NA
"58","_its_Joselin",0,1,1,NA,NA
"59","_itsleahhhh_",0,1,1,-99.9018131,41.4925374
"60","_itssmaddy",0,1,1,NA,NA
"61","_iye_sayf",0,1,1,113.921327,-0.789275
"62","_JamesTheRipper",0,1,1,NA,NA
"63","_Jandro1997_",1,3,2,-75.2023233,39.9562296
"64","_jesse_6",1,1,0,-121.7405167,38.5449065
"65","_jesssiccca_",0,1,1,NA,NA
"66","_jordandever",0,1,1,NA,NA
"67","_Jose_09_",1,0,-1,NA,NA
"68","_kanjaa",0,1,1,113.921327,-0.789275
"69","_karlaramirez",0,1,1,-118.2436849,34.0522342
"70","_kaylajk_",1,0,-1,-85.3241502,38.4053089
"71","_kd101994",1,0,-1,NA,NA
"72","_kryoko",1,0,-1,-73.8648268,40.8447819
"73","_kylepoptart_",0,2,2,NA,NA
"74","_kyliemichele",1,0,-1,NA,NA
"75","_kyrahsanders",0,1,1,NA,NA
"76","_laurawarren_",0,1,1,-81.6745517,36.216795
"77","_laurenhalford",0,1,1,-82.907123,40.4172871
"78","_Lauroooo",1,0,-1,NA,NA
"79","_leahE",0,1,1,-118.4364548,34.2109287
"80","_leamahoney",0,1,1,NA,NA
"81","_leannaflowers",0,1,1,NA,NA
"82","_lilyhernandezz",1,0,-1,-87.6839796,30.248479
"83","_LovelyEmas_",0,3,3,NA,NA
"84","_lovelykat",1,0,-1,NA,NA
"85","_LovelyTyler",1,0,-1,NA,NA
"86","_mackymarie_",0,1,1,NA,NA
"87","_madisontay",0,1,1,-104.8213634,38.8338816
"88","_mariaa_02",0,1,1,NA,NA
"89","_marissaaboo_",1,2,1,NA,NA
"90","_maryhshultz",1,0,-1,-82.907123,40.4172871
"91","_mckenziebrooke",0,1,1,NA,NA
"92","_melissamercado",2,0,-2,NA,NA
"93","_melssssssss",0,1,1,NA,NA
"94","_miriamortiz",0,1,1,NA,NA
"95","_MoMelanin",2,0,-2,-79.0377388,43.0962143
"96","_monicanorma",0,1,1,NA,NA
"97","_Nataliea",0,1,1,-79.9287517,32.7879465
"98","_NewRevolutions",1,0,-1,-97.7430608,30.267153
"99","_pampam1403_",0,1,1,-116.977248,33.9294606
"100","_pgeb",0,1,1,-88.3041367,42.0028334
"101","_plambert",1,2,1,NA,NA
"102","_pxtss",1,1,0,NA,NA
"103","_Rashad_H_",0,1,1,NA,NA
"104","_Regan_18",0,1,1,-90.5389662,41.8239952
"105","_rubyyc",0,1,1,NA,NA
"106","_saaammiee",0,1,1,-106.4850217,31.7618778
"107","_SarahSmiles",0,1,1,NA,NA
"108","_serenaramirez",1,0,-1,NA,NA
"109","_shepardalex",0,1,1,NA,NA
"110","_shyanna",0,1,1,NA,NA
"111","_snu",3,0,-3,NA,NA
"112","_Sophonias_97",1,0,-1,-104.990251,39.7392358
"113","_sttephaniiee",0,1,1,-74.0059728,40.7127753
"114","_susanabanana",0,1,1,-117.3794834,33.1958696
"115","_sydneyintheory",0,1,1,NA,NA
"116","_The_Gooch_",0,1,1,-75.1652215,39.9525839
"117","_TheDayman",1,0,-1,NA,NA
"118","_thegoodonesgo",1,0,-1,-74.0059728,40.7127753
"119","_ttatti",0,1,1,NA,NA
"120","_unknown0513",1,1,0,NA,NA
"121","_VintageReality",1,1,0,NA,NA
"122","_wobblewobble",1,1,0,NA,NA
"123","_xtinnaaa_",2,0,-2,NA,NA
"124","_xxMiguel",0,1,1,NA,NA
"125","_Youhad1job",2,0,-2,NA,NA
"126","_yunggmom",0,2,2,-115.1398296,36.1699412
"127","_z_a_forever_",0,2,2,NA,NA
"128","_zky",1,3,2,113.921327,-0.789275
"129","01101111_011100",1,0,-1,NA,NA
"130","07Kiana",0,1,1,-111.0937311,34.0489281
"131","0nefinity",0,1,1,NA,NA
"132","0oiiiiio0",1,0,-1,-112.0740373,33.4483771
"133","1000tapirs",1,0,-1,-122.4194155,37.7749295
"134","1059KNRS",0,1,1,-111.8910474,40.7607793
"135","1066Live",0,2,2,-0.1277583,51.5073509
"136","107Alpha",0,1,1,NA,NA
"137","10listadotcom",4,0,-4,-74.0059728,40.7127753
"138","111Rusher",1,0,-1,NA,NA
"139","11NightsInJune",0,1,1,-118.3353883,34.1519436
